               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.041198,            0.022021,            0.004103,             0.85409,             0.71277,             0.71762,             0.40512,            0.046853,            0.024867,          0.00041104,              0.0706,           0.0032667,           0.0032667
                   1,              0.0434,            0.022176,           0.0021428,             0.84807,             0.75263,              0.7465,             0.31629,            0.050108,            0.025049,          0.00068023,            0.040535,           0.0065347,           0.0065347
                   2,             0.04836,            0.023058,           0.0021095,              0.8541,             0.76284,             0.77008,             0.32532,            0.053059,            0.025447,          0.00049914,            0.010403,           0.0097367,           0.0097367
                   3,            0.048944,            0.023418,           0.0022738,             0.81989,             0.76365,             0.75038,             0.27527,            0.052122,            0.025616,          0.00074802,            0.009703,            0.009703,            0.009703
                   4,            0.049316,            0.024503,            0.002122,             0.81192,             0.76656,              0.7715,             0.35796,            0.049849,            0.025192,           0.0019471,            0.009703,            0.009703,            0.009703
                   5,            0.049747,            0.023241,           0.0019413,             0.84501,             0.71976,             0.71956,             0.33049,            0.051728,            0.025576,           0.0010635,            0.009604,            0.009604,            0.009604
                   6,            0.048232,             0.02346,           0.0019915,             0.76157,             0.82252,             0.82825,             0.38473,            0.052236,            0.027137,           0.0016961,            0.009505,            0.009505,            0.009505
                   7,            0.048205,            0.023435,           0.0020958,             0.84548,             0.80926,             0.82165,             0.32823,            0.054044,            0.025492,           0.0012752,            0.009406,            0.009406,            0.009406
                   8,            0.047587,            0.023461,           0.0019023,             0.67735,             0.74016,             0.77965,             0.38093,            0.059904,             0.02955,           0.0048131,            0.009307,            0.009307,            0.009307
                   9,            0.048184,            0.023265,           0.0021794,             0.84711,             0.78268,             0.77981,             0.40001,            0.050401,            0.025469,          0.00067448,            0.009208,            0.009208,            0.009208
                  10,            0.047707,            0.024031,           0.0019817,             0.87476,             0.83446,             0.85194,              0.3738,            0.050153,             0.02534,          0.00056457,            0.009109,            0.009109,            0.009109
                  11,            0.047814,            0.023649,            0.001777,             0.85049,             0.82951,             0.82801,             0.41276,            0.050551,            0.026146,          0.00052509,             0.00901,             0.00901,             0.00901
                  12,            0.047402,             0.02377,           0.0017084,             0.82701,             0.83521,             0.80939,             0.40338,            0.050587,            0.028022,          0.00058768,            0.008911,            0.008911,            0.008911
                  13,            0.046054,            0.022501,           0.0015289,             0.85417,             0.81745,             0.82461,              0.4386,            0.050064,            0.025723,          0.00068352,            0.008812,            0.008812,            0.008812
                  14,            0.047254,            0.022981,           0.0014232,             0.87146,             0.85206,             0.84825,             0.44453,            0.047723,            0.024463,           0.0005715,            0.008713,            0.008713,            0.008713
                  15,            0.045864,            0.022866,           0.0016561,             0.86974,             0.83239,             0.83143,             0.44649,            0.050587,            0.027742,          0.00076445,            0.008614,            0.008614,            0.008614
                  16,            0.045922,            0.022574,           0.0019296,             0.85048,             0.76527,             0.76488,             0.40242,            0.050288,            0.025886,          0.00070993,            0.008515,            0.008515,            0.008515
                  17,            0.047143,            0.022816,           0.0015527,             0.84556,             0.83247,             0.83176,              0.4109,             0.05239,             0.02377,          0.00084647,            0.008416,            0.008416,            0.008416
                  18,            0.045419,            0.022403,           0.0013567,             0.86468,              0.8397,             0.83734,             0.44824,            0.051587,            0.024548,          0.00066812,            0.008317,            0.008317,            0.008317
                  19,            0.045349,            0.022471,           0.0013943,             0.87251,             0.82216,              0.8378,             0.44551,            0.048709,            0.024697,          0.00061819,            0.008218,            0.008218,            0.008218
                  20,            0.044844,            0.022339,             0.00169,             0.85456,             0.84971,             0.84356,             0.43225,            0.050579,            0.024327,          0.00048584,            0.008119,            0.008119,            0.008119
                  21,            0.043998,            0.022335,           0.0012776,             0.87426,             0.83446,             0.83793,             0.46035,            0.050358,            0.025034,          0.00052705,             0.00802,             0.00802,             0.00802
                  22,            0.044392,             0.02197,            0.001486,             0.87966,             0.77315,             0.82236,              0.4359,            0.051495,            0.027421,          0.00057251,            0.007921,            0.007921,            0.007921
                  23,            0.043095,            0.022265,           0.0012962,             0.85188,             0.86196,             0.84669,             0.44842,            0.047779,            0.025909,           0.0004707,            0.007822,            0.007822,            0.007822
                  24,            0.043129,             0.02263,           0.0013355,               0.841,             0.85084,             0.84176,             0.46704,            0.048642,            0.025108,           0.0003834,            0.007723,            0.007723,            0.007723
                  25,            0.042566,            0.022225,           0.0011554,             0.86622,             0.84199,             0.83607,             0.44422,            0.049123,             0.02619,          0.00050282,            0.007624,            0.007624,            0.007624
                  26,            0.042212,            0.022097,           0.0012011,             0.84563,             0.83309,             0.83044,             0.46598,            0.048884,            0.025371,          0.00040533,            0.007525,            0.007525,            0.007525
                  27,            0.042463,            0.021699,           0.0014717,             0.86106,             0.84387,             0.84639,             0.43296,            0.049517,            0.024671,          0.00082573,            0.007426,            0.007426,            0.007426
                  28,            0.040811,            0.021269,           0.0012954,             0.85916,             0.85046,             0.83555,             0.45594,            0.048914,            0.025455,          0.00035789,            0.007327,            0.007327,            0.007327
                  29,            0.042185,            0.020738,           0.0011824,             0.84279,             0.85109,             0.82695,             0.43153,            0.052212,            0.024724,          0.00041551,            0.007228,            0.007228,            0.007228
                  30,            0.040065,             0.02153,           0.0012691,             0.86037,             0.82625,             0.82782,             0.46313,            0.052826,            0.025074,           0.0006295,            0.007129,            0.007129,            0.007129
                  31,            0.041912,            0.021524,           0.0010797,             0.87645,             0.82938,             0.83622,             0.46341,            0.049148,             0.02561,          0.00033221,             0.00703,             0.00703,             0.00703
                  32,            0.040208,            0.021503,           0.0010081,             0.87344,              0.8403,              0.8493,             0.48154,            0.047825,            0.025086,          0.00053352,            0.006931,            0.006931,            0.006931
                  33,            0.040998,            0.020843,           0.0012604,             0.81602,             0.80697,             0.81355,             0.44588,             0.05307,            0.028361,          0.00095783,            0.006832,            0.006832,            0.006832
                  34,            0.039593,            0.020214,          0.00098343,             0.85833,             0.77641,             0.77899,             0.43655,            0.048337,            0.025323,          0.00036044,            0.006733,            0.006733,            0.006733
                  35,            0.040058,            0.022062,           0.0011303,             0.86784,             0.81166,             0.84518,             0.46514,            0.049411,            0.025076,           0.0011532,            0.006634,            0.006634,            0.006634
                  36,            0.039394,            0.021023,           0.0012798,             0.87706,             0.81728,             0.81976,             0.47209,            0.049743,            0.028703,          0.00046089,            0.006535,            0.006535,            0.006535
                  37,            0.040817,            0.021621,           0.0011156,             0.86768,             0.83675,             0.84164,             0.47188,            0.047611,            0.026036,          0.00035532,            0.006436,            0.006436,            0.006436
                  38,            0.039595,             0.02044,           0.0011813,             0.86191,             0.84515,             0.84051,             0.43222,            0.048657,            0.025979,          0.00044771,            0.006337,            0.006337,            0.006337
                  39,            0.039483,            0.020958,           0.0011383,             0.85899,             0.82781,             0.82301,             0.46419,            0.049026,            0.027886,          0.00034714,            0.006238,            0.006238,            0.006238
                  40,            0.039247,            0.020442,           0.0010407,             0.87826,             0.82105,             0.83524,             0.46402,             0.05143,            0.025694,          0.00032989,            0.006139,            0.006139,            0.006139
                  41,            0.038695,            0.020239,            0.001021,              0.8829,             0.85566,             0.86036,             0.47596,            0.047192,            0.025513,          0.00037421,             0.00604,             0.00604,             0.00604
                  42,            0.038206,            0.019814,           0.0011635,             0.85836,             0.79448,             0.80211,             0.44959,            0.054288,            0.027794,          0.00064288,            0.005941,            0.005941,            0.005941
                  43,             0.03906,            0.020689,           0.0010507,             0.88867,              0.8162,              0.8343,              0.4662,            0.050421,            0.030208,          0.00045221,            0.005842,            0.005842,            0.005842
                  44,            0.037926,            0.019691,          0.00094832,             0.87986,             0.84218,             0.85045,             0.45842,            0.047861,            0.026781,          0.00036177,            0.005743,            0.005743,            0.005743
                  45,            0.038039,            0.020121,          0.00097583,             0.86601,             0.84727,             0.84833,             0.47324,            0.047817,            0.026035,          0.00040324,            0.005644,            0.005644,            0.005644
                  46,            0.037601,            0.020342,           0.0008108,             0.85628,             0.85812,             0.85209,             0.48313,            0.046634,            0.025787,          0.00031493,            0.005545,            0.005545,            0.005545
                  47,            0.037732,             0.01948,          0.00081984,             0.88937,             0.84328,             0.85666,             0.48647,            0.047845,            0.025162,          0.00042202,            0.005446,            0.005446,            0.005446
                  48,             0.03647,            0.019129,           0.0010662,             0.86542,             0.83371,              0.8433,             0.46956,            0.047674,            0.027193,          0.00069278,            0.005347,            0.005347,            0.005347
                  49,            0.037088,            0.019624,           0.0010083,             0.87228,             0.85904,             0.85465,             0.47576,            0.046826,            0.025597,          0.00036345,            0.005248,            0.005248,            0.005248
                  50,            0.037244,            0.019086,          0.00084913,              0.8807,             0.84019,             0.85014,             0.49553,            0.047203,            0.025983,          0.00042384,            0.005149,            0.005149,            0.005149
                  51,            0.036378,            0.018993,          0.00091467,             0.86409,             0.85367,              0.8538,             0.48666,            0.046919,            0.026758,          0.00038845,             0.00505,             0.00505,             0.00505
                  52,            0.036783,            0.018563,          0.00081171,             0.87904,             0.84193,             0.85282,             0.49079,            0.046976,            0.026083,          0.00041012,            0.004951,            0.004951,            0.004951
                  53,            0.036601,             0.01912,          0.00073809,             0.86687,             0.85537,              0.8577,             0.48258,            0.046755,             0.02565,          0.00056115,            0.004852,            0.004852,            0.004852
                  54,            0.035985,            0.018172,          0.00098266,             0.85919,             0.85339,             0.85198,             0.49151,            0.047148,            0.026057,          0.00032797,            0.004753,            0.004753,            0.004753
                  55,            0.036202,            0.019789,          0.00089688,             0.86788,             0.84809,             0.84655,             0.48452,            0.047964,            0.026361,          0.00027392,            0.004654,            0.004654,            0.004654
                  56,            0.036198,            0.018644,          0.00087939,             0.88769,             0.84294,             0.85195,             0.48544,            0.047546,            0.026163,          0.00034073,            0.004555,            0.004555,            0.004555
                  57,            0.035517,            0.018735,          0.00096099,             0.88661,             0.84576,             0.85608,             0.48918,            0.046434,            0.026024,          0.00036407,            0.004456,            0.004456,            0.004456
                  58,            0.035758,            0.019005,           0.0007764,             0.86365,             0.85593,             0.85609,             0.49579,            0.047139,            0.026172,          0.00026568,            0.004357,            0.004357,            0.004357
                  59,            0.035354,            0.019383,          0.00083003,             0.87741,              0.8354,             0.84332,             0.46643,            0.048224,            0.028558,          0.00028927,            0.004258,            0.004258,            0.004258
                  60,            0.035467,             0.01864,          0.00083277,             0.86538,              0.8484,             0.84942,             0.48341,            0.048238,            0.027576,          0.00032588,            0.004159,            0.004159,            0.004159
                  61,            0.034324,            0.018131,          0.00090737,             0.89061,              0.8399,             0.85115,             0.49822,               0.047,            0.026343,          0.00021493,             0.00406,             0.00406,             0.00406
                  62,            0.035028,            0.019103,          0.00076483,             0.88014,             0.85235,             0.85244,               0.499,            0.047623,            0.026227,          0.00025059,            0.003961,            0.003961,            0.003961
