               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.036352,             0.02281,          0.00044834,              0.8606,              0.7294,              0.7358,             0.42492,            0.045931,            0.026832,          0.00019397,              0.0739,              0.0029,              0.0029
                   1,            0.038852,             0.02325,          0.00063861,             0.86575,             0.82855,             0.83795,             0.45379,            0.048156,            0.027685,          0.00040766,            0.046842,           0.0058416,           0.0058416
                   2,            0.044524,            0.023912,           0.0011313,             0.82205,             0.79835,             0.77881,             0.47791,            0.055706,            0.026494,          0.00041482,            0.019724,           0.0087238,           0.0087238
                   3,            0.047335,            0.024681,           0.0010646,              0.8171,             0.82826,             0.79784,             0.46351,            0.054347,            0.026933,          0.00057311,            0.009703,            0.009703,            0.009703
                   4,            0.047406,            0.025236,           0.0012508,             0.86264,             0.84057,             0.82426,             0.39879,            0.051529,            0.026743,           0.0005918,            0.009703,            0.009703,            0.009703
                   5,            0.046781,            0.025939,           0.0011593,             0.77146,              0.7425,             0.78854,             0.36839,            0.056534,            0.027554,           0.0027417,            0.009604,            0.009604,            0.009604
                   6,            0.046158,            0.025436,           0.0011674,             0.77101,             0.81445,             0.79242,             0.41938,            0.051752,            0.027658,           0.0017666,            0.009505,            0.009505,            0.009505
                   7,            0.046338,            0.026443,            0.001435,             0.73761,             0.77362,             0.78071,             0.38163,            0.060036,            0.026667,           0.0021319,            0.009406,            0.009406,            0.009406
                   8,            0.046306,            0.026005,           0.0011467,             0.73286,             0.77175,             0.77125,             0.34397,            0.061737,            0.033283,           0.0044389,            0.009307,            0.009307,            0.009307
                   9,            0.044906,            0.024888,           0.0012122,               0.846,             0.81391,             0.81524,             0.46353,            0.051601,            0.028708,          0.00080494,            0.009208,            0.009208,            0.009208
                  10,            0.045586,            0.026215,           0.0011647,             0.87752,             0.83235,             0.83388,             0.41824,            0.050551,            0.027317,          0.00094087,            0.009109,            0.009109,            0.009109
                  11,            0.045069,            0.024635,           0.0013157,             0.85839,              0.8441,             0.83245,             0.47928,             0.04721,            0.028005,          0.00078025,             0.00901,             0.00901,             0.00901
                  12,             0.04396,            0.025644,             0.00111,             0.75102,             0.76066,             0.81449,             0.42694,            0.051495,            0.027001,           0.0033189,            0.008911,            0.008911,            0.008911
                  13,            0.044373,             0.02499,            0.001321,             0.84278,             0.81539,             0.81253,             0.45673,            0.052529,            0.026845,          0.00072387,            0.008812,            0.008812,            0.008812
                  14,              0.0446,            0.024942,           0.0010004,             0.86667,             0.84348,             0.83354,             0.42701,            0.049547,             0.02724,          0.00066056,            0.008713,            0.008713,            0.008713
                  15,            0.044323,            0.025456,          0.00097104,              0.8369,             0.82444,             0.81515,             0.45049,            0.052497,            0.026431,          0.00093597,            0.008614,            0.008614,            0.008614
                  16,            0.044101,            0.024227,           0.0011714,             0.86848,             0.82165,             0.83147,             0.47799,            0.048598,            0.028992,           0.0010252,            0.008515,            0.008515,            0.008515
                  17,            0.042622,            0.025185,            0.001202,             0.74351,             0.75847,             0.80926,             0.39206,            0.053585,            0.028443,           0.0038036,            0.008416,            0.008416,            0.008416
                  18,            0.043853,             0.02763,           0.0011449,             0.68571,             0.59896,             0.71524,             0.38746,            0.055707,            0.031701,           0.0091135,            0.008317,            0.008317,            0.008317
                  19,            0.043026,            0.024659,            0.001028,             0.79749,             0.82117,             0.82754,             0.39913,            0.049815,            0.027729,           0.0018939,            0.008218,            0.008218,            0.008218
                  20,            0.044344,            0.025017,           0.0011466,             0.85827,             0.85127,             0.84068,             0.49318,            0.047036,            0.028345,          0.00058681,            0.008119,            0.008119,            0.008119
                  21,            0.041825,            0.025177,           0.0011684,             0.86073,             0.85192,             0.83415,              0.4724,            0.047671,            0.027497,          0.00062708,             0.00802,             0.00802,             0.00802
                  22,            0.042644,            0.024704,           0.0010474,              0.8748,             0.84866,              0.8527,             0.49877,            0.047836,            0.026659,          0.00062689,            0.007921,            0.007921,            0.007921
                  23,            0.041921,            0.024391,           0.0010164,             0.87917,             0.84475,             0.84494,             0.51379,            0.046949,            0.026963,          0.00057802,            0.007822,            0.007822,            0.007822
                  24,            0.042065,            0.023487,           0.0011857,               0.843,             0.81616,             0.80958,             0.44971,            0.054466,            0.027801,          0.00076856,            0.007723,            0.007723,            0.007723
                  25,            0.040963,            0.023347,           0.0012083,             0.82007,             0.81013,             0.79693,             0.38217,            0.055931,            0.027764,          0.00085803,            0.007624,            0.007624,            0.007624
                  26,            0.039784,            0.023692,           0.0010067,             0.84101,             0.82192,             0.80676,             0.47931,            0.050938,             0.02698,          0.00056503,            0.007525,            0.007525,            0.007525
                  27,            0.041722,            0.023739,          0.00087972,             0.87343,             0.82886,             0.84006,             0.45949,            0.048503,            0.028369,           0.0005534,            0.007426,            0.007426,            0.007426
                  28,            0.041068,            0.024678,          0.00085589,             0.87108,              0.8491,             0.84205,             0.50758,            0.047735,            0.026673,            0.000557,            0.007327,            0.007327,            0.007327
                  29,            0.040307,            0.023812,            0.001096,             0.87927,             0.84279,             0.83867,             0.50323,            0.047131,            0.029609,          0.00064851,            0.007228,            0.007228,            0.007228
                  30,            0.039852,            0.024052,          0.00095384,             0.86234,              0.8454,             0.83879,             0.45582,            0.048582,            0.028507,          0.00065542,            0.007129,            0.007129,            0.007129
                  31,            0.040833,            0.025149,          0.00092149,             0.87019,             0.83105,             0.82916,              0.4804,            0.048113,            0.028281,          0.00054523,             0.00703,             0.00703,             0.00703
                  32,            0.039501,             0.02385,          0.00091081,             0.84712,             0.82763,             0.83411,             0.43164,            0.050526,            0.027298,           0.0010546,            0.006931,            0.006931,            0.006931
                  33,            0.039759,            0.024228,           0.0010919,             0.86534,             0.84654,              0.8353,             0.46049,            0.048209,            0.029163,          0.00053228,            0.006832,            0.006832,            0.006832
                  34,            0.038974,            0.023074,          0.00084046,             0.85921,             0.84001,             0.83153,              0.4369,            0.050653,            0.029188,          0.00059944,            0.006733,            0.006733,            0.006733
                  35,            0.038715,            0.023557,          0.00078773,             0.86628,             0.82661,             0.83245,             0.47721,            0.050217,            0.028598,          0.00068327,            0.006634,            0.006634,            0.006634
                  36,            0.038655,             0.02245,           0.0010639,             0.86987,             0.85192,              0.8444,             0.50587,            0.046137,            0.027374,          0.00048297,            0.006535,            0.006535,            0.006535
                  37,             0.03914,            0.022956,           0.0011455,             0.87993,             0.83823,             0.84421,             0.52716,            0.046061,            0.028349,          0.00055236,            0.006436,            0.006436,            0.006436
                  38,            0.038339,            0.022391,           0.0009745,                0.86,             0.84545,             0.83756,             0.45228,            0.050389,            0.028475,          0.00049635,            0.006337,            0.006337,            0.006337
