               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12675,             0.03442,            0.031909,             0.67464,            0.078755,           0.0041738,          0.00085569,             0.11163,            0.031005,            0.023678,              0.0739,              0.0029,              0.0029
                   1,             0.10937,            0.036944,            0.016435,             0.68587,            0.072344,            0.031128,           0.0060517,             0.10067,            0.033379,            0.011153,            0.046842,           0.0058416,           0.0058416
                   2,            0.097988,            0.038519,            0.010233,             0.39822,             0.25124,            0.063641,            0.013253,            0.089504,            0.039168,           0.0085113,            0.019724,           0.0087238,           0.0087238
                   3,            0.090983,            0.037724,           0.0084463,             0.45651,             0.30027,             0.11937,            0.025706,            0.083976,             0.03312,            0.008019,            0.009703,            0.009703,            0.009703
                   4,            0.084714,            0.035686,           0.0082785,             0.48256,             0.27653,              0.1691,            0.034583,            0.079546,            0.032251,            0.008398,            0.009703,            0.009703,            0.009703
                   5,            0.078179,            0.033854,           0.0071418,              0.5519,             0.45799,             0.29493,             0.11162,            0.070663,            0.035645,           0.0071494,            0.009604,            0.009604,            0.009604
                   6,            0.072002,             0.03269,           0.0071607,             0.62355,              0.3722,             0.37371,            0.095614,            0.067219,            0.027585,           0.0070445,            0.009505,            0.009505,            0.009505
                   7,            0.070877,            0.033392,           0.0069284,             0.62047,             0.36334,             0.39222,             0.12869,            0.071384,            0.031028,           0.0066639,            0.009406,            0.009406,            0.009406
                   8,            0.068023,            0.032931,           0.0063153,             0.74976,             0.45471,             0.51729,             0.13439,            0.059488,            0.027371,           0.0056546,            0.009307,            0.009307,            0.009307
                   9,            0.064083,            0.032141,           0.0054413,             0.48811,             0.59271,             0.56266,             0.20669,            0.058605,            0.030905,            0.005207,            0.009208,            0.009208,            0.009208
                  10,            0.064157,            0.032423,            0.005086,             0.60896,             0.63639,             0.66507,              0.2817,            0.068104,            0.026495,           0.0038574,            0.009109,            0.009109,            0.009109
                  11,            0.062128,            0.030714,           0.0047836,             0.65275,             0.79288,             0.78483,             0.28947,            0.058904,             0.02709,           0.0033025,             0.00901,             0.00901,             0.00901
                  12,            0.059307,             0.03242,              0.0035,             0.67401,             0.79934,             0.76027,             0.24234,            0.062882,            0.026364,            0.002456,            0.008911,            0.008911,            0.008911
                  13,            0.061211,            0.030865,           0.0033441,             0.83981,              0.7812,             0.81413,              0.3023,            0.057304,            0.025972,           0.0016305,            0.008812,            0.008812,            0.008812
                  14,             0.05969,            0.030765,           0.0026278,             0.67553,              0.6345,             0.63324,              0.2393,             0.05636,            0.027313,           0.0032123,            0.008713,            0.008713,            0.008713
                  15,            0.058762,            0.030708,           0.0027614,             0.83063,             0.80494,             0.82126,             0.41808,            0.053024,            0.026159,           0.0018043,            0.008614,            0.008614,            0.008614
                  16,             0.05812,            0.029924,            0.002938,                0.82,             0.79828,             0.78219,             0.29803,             0.06023,            0.025879,           0.0011208,            0.008515,            0.008515,            0.008515
                  17,            0.057144,            0.030874,            0.002656,             0.77808,              0.7682,             0.81628,             0.35337,            0.056013,             0.02791,           0.0029574,            0.008416,            0.008416,            0.008416
                  18,            0.057463,            0.033386,           0.0024926,             0.68875,             0.81402,             0.81283,              0.4023,            0.052516,            0.028549,           0.0033872,            0.008317,            0.008317,            0.008317
                  19,            0.056323,            0.029858,           0.0021984,             0.84771,             0.83316,             0.82452,             0.43532,            0.050011,            0.026215,           0.0010345,            0.008218,            0.008218,            0.008218
                  20,            0.056558,             0.02988,           0.0026556,             0.83601,              0.8379,             0.82503,             0.36302,            0.052652,              0.0267,           0.0010156,            0.008119,            0.008119,            0.008119
                  21,            0.054606,            0.030808,            0.002347,             0.63737,             0.68331,              0.6908,             0.35275,            0.057911,            0.032639,           0.0027923,             0.00802,             0.00802,             0.00802
